Start,End,Open,High,Low,Close,Volume,Market Cap
2024-04-21,2024-04-22,0.5053694373902301,0.512284096397035,0.48944204501555094,0.49947839863467414,773472748.1184669,17882835242.72474
2024-04-20,2024-04-21,0.46938806475662287,0.5071185107835334,0.46606439571815406,0.5050937922434134,985133213.0487804,17429492522.414635
2024-04-19,2024-04-20,0.4574645322477738,0.47482319131011325,0.4250647170277627,0.4693554940822263,989003563.6188811,16428749455.81119
2024-04-18,2024-04-19,0.4462444664444617,0.45995711663298944,0.43653228938224625,0.45798257872247633,933349627.1024735,16020696299.028269
2024-04-17,2024-04-18,0.4577962874541199,0.4644405686258252,0.43224686478295193,0.4449026863889757,886221865.7700348,16053138245.271776
2024-04-16,2024-04-17,0.46091225825422444,0.47670396499981077,0.4407651987089914,0.4582994175687406,1170942780.5191638,16323359874.585365
2024-04-15,2024-04-16,0.4659807404581152,0.4939668579292848,0.44167164903065925,0.4609363316155857,1472108892.3205576,16749774144.034843
2024-04-14,2024-04-15,0.4467441640154898,0.47681474922543005,0.43625056089142894,0.4679912046573741,2377702693.0104527,16293242450.770035
2024-04-13,2024-04-14,0.5007290625378111,0.51597569597329,0.4030249726153755,0.4488837359962975,2069857765.7491288,17425005269.658535
2024-04-12,2024-04-13,0.5879573068704306,0.5926435262231263,0.46992062184236205,0.5031704478700534,901687506.9721254,19890464392.38676
2024-04-11,2024-04-12,0.5856161846670553,0.5945975309355283,0.5767710583647618,0.587021212615877,740892690.9930314,20875294132.216026
2024-04-10,2024-04-11,0.5910302306102828,0.5938581960852275,0.5631556720237237,0.5860044820019806,898040899.1608392,20677404414.65734
2024-04-09,2024-04-10,0.6141447608563207,0.6230521275302687,0.5912273085626668,0.5928331051236199,779367746.8466899,21578527376.041813
2024-04-08,2024-04-09,0.5874813876145591,0.6166214078327515,0.5804897788729069,0.6142860406834191,618504029.3379791,21438177035.247387
2024-04-07,2024-04-08,0.5836018076679425,0.5963631325952512,0.5829524633401116,0.5895359800457679,436027001.75609756,21006404153.891987
2024-04-06,2024-04-07,0.57353245714536,0.5890709244689986,0.5731369876707647,0.5848764426705643,543673137.2125436,20701243286.5331
2024-04-05,2024-04-06,0.5814881330130272,0.5847150277828332,0.5610871478197267,0.57581169604663,780274841.8606272,19993526897.43554
2024-04-04,2024-04-05,0.5699325481919569,0.5964864002092266,0.5623862365579244,0.582645063636789,751427779.4596491,19621061958.68421
2024-04-03,2024-04-04,0.5804319737945313,0.5939505629274249,0.5660413383911254,0.5715048763147604,948284722.4599303,19703025218.055748
2024-04-02,2024-04-03,0.6211172170822535,0.6213893551542767,0.5755504868696545,0.5806140583097151,1112981970.522648,19997768085.299652
2024-04-01,2024-04-02,0.6506609120747738,0.6517500967039183,0.6066911434667527,0.6223477280783938,778770364.8989547,21255340951.09756
2024-03-31,2024-04-01,0.6431782972616888,0.6539834261682317,0.6431782972616888,0.6511310797037433,517113514.22299653,21925479940.602787
2024-03-30,2024-03-31,0.6632830912353603,0.6687217881654982,0.6427340999708235,0.6451966225968454,820712856.195122,22123385128.951218
2024-03-29,2024-03-30,0.6502464499210144,0.6672581931446258,0.6372669640140635,0.6641763597581501,748388270.1118882,21988500661.25874
2024-03-28,2024-03-29,0.6470969961917841,0.657733220409486,0.6357865326988189,0.6506960398276648,947175470.548951,21953476992.748253
2024-03-27,2024-03-28,0.6662632271756539,0.670557692624975,0.6323625526222395,0.6486882319239871,998949328.9477352,22062110365.738674
2024-03-26,2024-03-27,0.6557283197606986,0.6825439226090231,0.6534085963456147,0.6653589913390127,962335422.6550523,22561330834.50871
2024-03-25,2024-03-26,0.644791500520863,0.6672712611078085,0.6395943505937566,0.6567394641007223,774605539.0418118,22071346801.10453
2024-03-24,2024-03-25,0.6252969164095186,0.6480922728845158,0.6252969164095186,0.6465752132777705,626543419.6933798,21502041848.836235
2024-03-23,2024-03-24,0.6137662574480672,0.6387053867259627,0.6130099036159281,0.6257502137386611,908815153.5261323,21238285484.71777
